#         t          x          y          z         vx         vy         vz
      0.000   -476.240    491.430   -412.430     44.000    101.000    141.000
      0.071   -472.950    498.960   -402.000     50.000    107.000    148.000
      0.143   -469.300    506.760   -391.420     58.000    112.000    151.000
      0.214   -465.060    515.050   -380.290     64.000    116.000    160.000
      0.286   -460.230    523.520   -368.490     72.000    125.000    171.000
      0.357   -454.660    532.660   -355.780     83.000    129.000    184.000
      0.429   -448.070    541.950   -342.360     95.000    133.000    191.000
      0.500   -440.870    551.420   -328.540    107.000    134.000    201.000
      0.571   -432.490    561.130   -313.980    131.000    138.000    212.000
      0.643   -422.400    570.870   -298.360    154.000    136.000    225.000
      0.714   -410.480    580.360   -281.690    179.000    127.000    236.000
      0.786   -396.660    588.870   -264.610    206.000    113.000    242.000
      0.857   -380.890    596.270   -247.150    238.000     93.000    247.000
      0.929   -362.750    601.810   -229.360    265.000     61.000    248.000
      1.000   -343.110    605.080   -212.160    279.000     31.000    237.000
      1.071   -323.070    606.310   -195.680    287.000      2.000    221.000
      1.143   -302.660    605.500   -180.480    286.000    -25.000    204.000
      1.214   -282.300    602.770   -166.520    281.000    -52.000    188.000
      1.286   -262.570    598.370   -153.540    273.000    -69.000    177.000
      1.357   -243.370    592.950   -141.400    263.000    -82.000    164.000
      1.429   -224.780    586.590   -130.120    256.000    -97.000    150.000
      1.500   -206.950    579.260   -119.870    244.000   -107.000    138.000
      1.571   -189.870    571.290   -110.330    236.000   -116.000    130.000
      1.643   -173.320    562.780   -101.470    227.000   -122.000    120.000
      1.714   -157.460    553.800    -93.080    218.000   -131.000    114.000
      1.786   -142.220    544.260    -85.330    208.000   -136.000    105.000
      1.857   -127.690    534.380    -78.130    200.000   -142.000     97.000
      1.929   -113.710    524.070    -71.440    191.000   -147.000     91.000
      2.000   -100.330    513.270    -65.180    183.000   -154.000     85.000
      2.071    -87.650    502.060    -59.300    172.000   -158.000     79.000
      2.143    -75.610    490.790    -53.850    168.000   -158.000     73.000
      2.214    -64.010    479.350    -48.910    156.000   -162.000     68.000
      2.286    -53.000    467.620    -44.160    152.000   -166.000     64.000
      2.357    -42.380    455.620    -39.850    145.000   -170.000     59.000
      2.429    -32.340    443.380    -35.710    136.000   -171.000     56.000
      2.500    -23.090    431.110    -31.740    126.000   -176.000     54.000
      2.571    -14.360    418.430    -28.160    118.000   -180.000     46.000
      2.643     -6.220    405.460    -24.940    110.000   -185.000     44.000
      2.714      1.380    392.090    -21.980    103.000   -187.000     38.000
