#         t          x          y          z         vx         vy         vz
      2.786      8.570    378.740    -19.460     98.000   -190.000     34.000
      2.857     15.190    364.900    -17.100     88.000   -197.000     30.000
      2.929     20.970    350.750    -15.010     78.000   -200.000     25.000
      3.000     26.210    336.340    -13.360     69.000   -204.000     22.000
      3.071     30.760    321.630    -11.840     57.000   -209.000     19.000
      3.143     34.550    306.560    -10.610     48.000   -214.000     15.000
      3.214     37.590    291.160     -9.790     36.000   -219.000      9.000
      3.286     39.550    275.340     -9.460     21.000   -223.000      4.000
      3.357     40.450    259.280     -9.320      6.000   -228.000     -0.000
      3.429     40.090    242.860     -9.490    -14.000   -231.000     -6.000
      3.500     38.430    226.070    -10.290    -31.000   -238.000    -14.000
      3.571     35.470    208.830    -11.440    -54.000   -244.000    -20.000
      3.643     30.840    191.180    -13.310    -79.000   -246.000    -33.000
      3.714     23.910    173.660    -16.030   -115.000   -243.000    -43.000
      3.786     14.530    156.630    -19.660   -152.000   -232.000    -57.000
      3.857      2.450    140.770    -24.260   -188.000   -210.000    -71.000
      3.929    -12.010    126.670    -29.660   -221.000   -179.000    -81.000
      4.000    -28.710    115.660    -35.720   -247.000   -129.000    -84.000
      4.071    -46.980    108.390    -41.630   -258.000    -71.000    -79.000
      4.143    -65.250    105.740    -46.980   -250.000     -2.000    -66.000
      4.214    -82.120    108.180    -50.990   -219.000     68.000    -49.000
      4.286    -96.080    115.230    -53.680   -167.000    124.000    -28.000
      4.357   -105.730    125.330    -54.950   -104.000    155.000     -8.000
      4.429   -111.070    137.020    -55.000    -47.000    169.000      6.000
      4.500   -112.630    149.090    -54.140      1.000    169.000     15.000
      4.571   -111.130    161.080    -52.670     39.000    165.000     25.000
      4.643   -107.070    172.680    -50.610     72.000    160.000     31.000
      4.714   -100.860    183.850    -48.130    101.000    153.000     38.000
      4.786    -92.720    194.500    -45.030    126.000    145.000     48.000
      4.857    -82.940    204.580    -41.140    148.000    137.000     60.000
      4.929    -71.600    214.290    -36.450    167.000    130.000     72.000
      5.000    -59.170    223.290    -30.820    184.000    124.000     86.000
      5.071    -45.340    232.090    -23.960    205.000    121.000    106.000
      5.143    -29.830    240.430    -15.130    231.000    114.000    145.000
      5.214    -12.450    247.770     -2.550    255.000     86.000    214.000
      5.286      5.470    250.980     15.350    232.000     -5.000    277.000
      5.357     20.170    247.520     34.810    180.000    -81.000    259.000
      5.429     31.600    240.430     51.990    142.000   -113.000    221.000
      5.500     40.770    231.700     66.510    117.000   -132.000    184.000
      5.571     48.490    222.020     78.470     96.000   -142.000    155.000
      5.643     54.860    211.580     88.610     79.000   -150.000    126.000
      5.714     59.270    200.330     96.670     63.000   -158.000    104.000
      5.786     63.250    188.900    103.410     49.000   -162.000     82.000
      5.857     66.420    177.140    108.430     34.000   -169.000     59.000
      5.929     68.440    165.130    111.770     20.000   -167.000     36.000
      6.000     69.490    153.150    113.490      9.000   -168.000     10.000
      6.071     70.400    141.420    114.100     -3.000   -165.000    -11.000
      6.143     69.490    129.730    112.350    -19.000   -161.000    -37.000
      6.214     67.080    118.310    108.150    -31.000   -154.000    -65.000
      6.286     64.370    107.730    102.340    -48.000   -142.000    -98.000
      6.357     60.420     98.090     94.110    -63.000   -125.000   -130.000
      6.429     55.320     89.920     83.670    -76.000   -103.000   -165.000
      6.500     49.380     83.660     70.880    -90.000    -72.000   -197.000
      6.571     42.390     80.120     55.720   -103.000    -26.000   -230.000
      6.643     34.920     80.300     38.340   -109.000     35.000   -254.000
      6.714     27.180     85.650     19.990   -100.000    115.000   -254.000
      6.786     20.780     96.500      2.730    -75.000    186.000   -217.000
      6.857     16.640    111.360    -10.510    -40.000    225.000   -152.000
      6.929     15.010    127.740    -19.130    -10.000    230.000    -88.000
      7.000     15.460    143.830    -23.430     20.000    216.000    -37.000
      7.071     17.620    158.490    -24.620     40.000    195.000      4.000
      7.143     21.040    171.600    -23.310     55.000    172.000     36.000
      7.214     25.370    182.890    -19.790     65.000    146.000     63.000
      7.286     30.420    192.380    -14.360     77.000    120.000     87.000
      7.357     36.360    199.920     -7.580     86.000     90.000    105.000
      7.429     42.760    205.430      0.420     94.000     65.000    123.000
      7.500     49.600    208.950      9.640     99.000     33.000    134.000
      7.571     56.850    210.260     19.600    103.000      3.000    143.000
      7.643     64.220    209.300     30.180    102.000    -30.000    153.000
      7.714     71.560    205.980     41.480    103.000    -64.000    162.000
      7.786     78.930    200.150     53.160    105.000   -101.000    164.000
      7.857     86.340    191.600     64.790    102.000   -140.000    162.000
      7.929     93.610    179.920     76.180     98.000   -186.000    156.000
      8.000    100.280    165.030     86.940     90.000   -232.000    144.000
      8.071    106.050    146.560     96.340     71.000   -283.000    116.000
      8.143    110.320    124.730    103.060     46.000   -328.000     67.000
      8.214    112.350    100.280    105.400      9.000   -352.000     -6.000
      8.286    111.440     75.570    101.970    -36.000   -328.000    -89.000
      8.357    107.510     54.260     93.220    -71.000   -264.000   -150.000
      8.429    101.760     38.180     81.370    -85.000   -188.000   -180.000
      8.500     95.570     27.460     68.340    -87.000   -116.000   -183.000
      8.571     89.570     21.610     55.660    -82.000    -51.000   -173.000
      8.643     84.040     19.650     43.900    -75.000     -3.000   -152.000
      8.714     79.250     20.870     33.950    -58.000     36.000   -125.000
      8.786     75.700     24.800     26.060    -41.000     70.000    -97.000
      8.857     73.590     30.720     20.250    -22.000     95.000    -66.000
      8.929     72.760     38.330     16.770     -2.000    116.000    -31.000
      9.000     73.170     47.190     15.760     17.000    131.000      4.000
      9.071     75.110     56.920     17.290     39.000    141.000     41.000
      9.143     78.690     67.210     21.700     62.000    145.000     84.000
      9.214     83.830     77.380     29.310     85.000    140.000    127.000
      9.286     90.990     87.020     40.120    115.000    128.000    176.000
      9.357    100.610     95.140     54.610    150.000     98.000    229.000
      9.429    112.610    100.220     72.840    183.000     38.000    280.000
      9.500    126.640     99.830     94.120    208.000    -55.000    310.000
      9.571    141.750     91.630    115.850    207.000   -173.000    287.000
      9.643    155.300     76.170    133.690    166.000   -244.000    206.000
      9.714    165.500     57.870    145.450    119.000   -259.000    125.000
      9.786    172.280     39.860    151.930     76.000   -242.000     60.000
      9.857    176.590     23.640    154.490     43.000   -214.000     11.000
      9.929    178.630      9.710    153.950     15.000   -177.000    -24.000
     10.000    178.940     -1.630    150.930     -7.000   -139.000    -55.000
     10.071    177.650    -10.140    145.850    -30.000    -99.000    -86.000
     10.143    174.860    -15.590    139.140    -46.000    -53.000   -103.000
     10.214    170.870    -17.700    131.160    -62.000     -2.000   -119.000
     10.286    165.910    -15.940    122.410    -77.000     53.000   -125.000
     10.357    160.100     -9.740    113.530    -83.000    119.000   -123.000
     10.429    154.080      1.500    105.270    -83.000    196.000   -104.000
     10.500    148.770     18.270     99.580    -59.000    274.000    -50.000
     10.571    146.380     39.930     99.100     -2.000    317.000     43.000
     10.643    148.800     61.530    105.700     69.000    276.000    137.000
     10.714    155.430     78.260    117.240    112.000    192.000    180.000
     10.786    164.460     89.000    130.680    135.000    108.000    192.000
     10.857    174.370     94.190    144.330    143.000     39.000    188.000
     10.929    184.550     94.740    157.030    137.000    -24.000    170.000
     11.000    194.190     91.030    168.320    132.000    -80.000    145.000
     11.071    203.010     83.670    177.590    118.000   -125.000    113.000
     11.143    210.660     73.190    184.350     95.000   -167.000     77.000
     11.214    216.420     60.130    188.340     67.000   -199.000     35.000
     11.286    219.910     45.070    188.940     31.000   -224.000    -16.000
     11.357    220.690     28.670    185.620    -12.000   -234.000    -78.000
     11.429    217.760     12.250    177.620    -70.000   -218.000   -147.000
